MSOA21CD,JobAccess
E02001028,1153927.081
E02001029,1260148.445
E02001030,1092787.106
E02001031,1350692.995
E02001032,1146579.992
E02001033,1176928.415
E02001034,1136425.973
E02001035,1354538.588
E02001036,1290015.642
E02001037,1460893.215
E02001038,1399622.769
E02001039,1297683.696
E02001040,1452811.592
E02001041,1330257.575
E02001042,1400674.453
E02001043,1411747.185
E02001044,1414047.615
E02001045,1231075.419
E02001046,1152745.919
E02001047,1132722.594
E02001048,1179651.789
E02001049,1262801.017
E02001050,937790.557
E02001051,903046.5216
E02001052,996038.8911
E02001053,871138.8764
E02001055,1040816.333
E02001056,906674.9993
E02001059,905958.5626
E02001061,1002162.929
E02001062,993482.2411
E02001063,926735.0065
E02001064,977949.5868
E02001065,1019334.454
E02001066,833278.8345
E02001067,927619.3977
E02001068,862970.8476
E02001069,773816.4266
E02001070,811818.3573
E02001072,899859.0966
E02001073,1049240.806
E02001074,929491.7108
E02001075,923485.0307
E02001076,712231.9009
E02001077,1043815.004
E02001078,1062150.783
E02001079,863539.0165
E02001080,731564.2819
E02001081,1242737.224
E02001082,806918.3512
E02001083,985689.4804
E02001084,787382.5977
E02001085,980943.0424
E02001086,1078865.221
E02001087,937772.9601
E02001088,1171433.511
E02001089,1119908.087
E02001090,1260543.821
E02001091,1077472.713
E02001092,1087142.459
E02001093,1122700.101
E02001094,924136.9014
E02001095,1104649.005
E02001096,951752.1761
E02001097,1125049.811
E02001098,1201574.877
E02001099,1254573.133
E02001100,1225279.261
E02001101,1257105.901
E02001102,1255977.231
E02001103,1240700.703
E02001104,1226098.628
E02001105,1328226.167
E02001106,1289060.202
E02001107,1433986.908
E02001108,1152737.637
E02001109,1183210.925
E02001110,1222894.596
E02001111,1131868.372
E02001112,1466048.987
E02001113,1345898.43
E02001114,1474308.41
E02001115,1232564.016
E02001116,1220891.463
E02001117,1133144.057
E02001118,1236070.006
E02001119,1281486.233
E02001121,1311744.79
E02001123,1153748.696
E02001124,1426950.165
E02001125,1512861.834
E02001126,1216911.197
E02001127,1286184.699
E02001128,1411976.816
E02001129,1276720.799
E02001130,1325248.323
E02001131,1301571.164
E02001132,1042599.93
E02001133,1098150.12
E02001134,1161474.621
E02001135,1155284.527
E02001136,1174718.128
E02001137,1157303.738
E02001138,1187950.705
E02001139,1193396.288
E02001140,1175810.92
E02001141,1150683.816
E02001142,1238951.147
E02001143,1273450.266
E02001144,1401142.047
E02001145,1381581.063
E02001146,1286200.309
E02001147,1245789.637
E02001148,1332643.099
E02001149,1382384.451
E02001150,1411067.81
E02001151,1514062.631
E02001152,1390061.605
E02001153,1244986.849
E02001154,1396472.123
E02001155,1402852.678
E02001156,1385958.743
E02001157,1287359.205
E02001158,1356199.969
E02001159,1399816.356
E02001160,1350356.775
E02001161,1424445.674
E02001162,1303965.942
E02001163,1499437.411
E02001164,1372447.12
E02001165,1331864.043
E02001166,1269646.675
E02001167,1233183.546
E02001168,1326286.263
E02001169,1637190.132
