OA21CD,GreenspaceTotal,GreenspacePublic
E00001329,0.5113,0.0924
E00001330,0,0
E00001331,0,0
E00001333,0,0
E00001334,0,0
E00001335,3.7198,0
E00001336,4.6428,0
E00001337,19.5599,19.5599
E00001338,0,0
E00001339,0,0
E00001340,0,0
E00001341,0,0
E00001342,0,0
E00001343,0,0
E00001344,0,0
E00001345,0,0
E00001346,0,0
E00001347,0,0
E00001348,0,0
E00001349,0.1409,0
E00001350,0,0
E00001351,0,0
E00001352,0,0
E00001353,44.0339,44.0339
E00001354,0,0
E00001355,7.2559,1.8698
E00001356,0,0
E00001357,0,0
E00001358,0,0
E00001359,0,0
E00001360,14.2323,13.8916
E00001361,0,0
E00001362,0,0
E00001363,0.008,0
E00001364,0,0
E00001365,0,0
E00001366,6.4026,0
E00001367,83.2028,40.5019
E00001368,4.9391,0.6156
E00001369,45.1103,32.21
E00001370,1.1607,0.3199
E00001371,46.1687,12.7398
E00001372,40.4776,0
E00001374,5.7176,4.6163
E00001375,37.9137,0.2072
E00001376,0,0
E00001377,0,0
E00001378,0,0
E00001379,0,0
E00001380,8.0709,5.482
E00001381,0.9186,0
E00001382,0,0
E00001383,43.6047,8.1934
E00001384,28.2469,28.2469
E00001385,59.3587,46.9324
E00001386,0,0
E00001387,0.684,0
E00001388,0.859,0
E00001389,0,0
E00001390,30.7877,30.5514
E00001391,23.7907,0.995
E00001392,1.5862,1.5862
E00001393,0,0
E00001394,17.7728,17.7728
E00001395,0.5309,0.5309
E00001396,0,0
E00001397,0,0
E00001398,60.3084,0
E00001399,0,0
E00001400,0,0
